MC_samples M E
516 0.49374 -1.24421
517 0.494439 -1.24489
518 0.495106 -1.24556
519 0.495674 -1.24613
520 0.496154 -1.24648
521 0.496727 -1.24697
522 0.497318 -1.24736
523 0.49782 -1.24753
524 0.498302 -1.24775
525 0.498914 -1.24821
526 0.499677 -1.24903
527 0.500361 -1.2497
528 0.50107 -1.25038
529 0.501739 -1.25095
530 0.502453 -1.25158
531 0.503126 -1.25215
532 0.50375 -1.25263
533 0.504447 -1.25325
534 0.504963 -1.25346
535 0.505477 -1.25381
536 0.505961 -1.25407
537 0.506415 -1.25447
538 0.506924 -1.25498
539 0.507347 -1.25514
540 0.507778 -1.25544
541 0.508189 -1.25564
542 0.50857 -1.2559
543 0.509061 -1.25637
544 0.50955 -1.25675
545 0.509982 -1.25705
546 0.510348 -1.25729
547 0.510649 -1.25735
548 0.510995 -1.25748
549 0.51133 -1.25752
550 0.511682 -1.2576
551 0.512169 -1.25786
552 0.512554 -1.25795
553 0.512839 -1.25788
554 0.513303 -1.25816
555 0.513757 -1.25843
556 0.514173 -1.25867
557 0.514614 -1.2589
558 0.514973 -1.25889
559 0.515313 -1.25909
560 0.515545 -1.25912
561 0.515668 -1.25922
562 0.515854 -1.25945
563 0.516004 -1.25956
564 0.516046 -1.25961
565 0.516106 -1.25959
566 0.516254 -1.25958
567 0.51634 -1.25949
568 0.516408 -1.25956
569 0.516564 -1.25972
570 0.516649 -1.25972
571 0.516611 -1.25967
572 0.516434 -1.25941
573 0.516265 -1.25923
574 0.516263 -1.25932
575 0.516278 -1.25932
576 0.516389 -1.25931
577 0.516516 -1.25941
578 0.51667 -1.25962
579 0.516736 -1.25969
580 0.516759 -1.25962
581 0.516928 -1.25976
582 0.517148 -1.25978
583 0.517444 -1.25995
584 0.51774 -1.26007
585 0.51806 -1.26029
586 0.518345 -1.26034
587 0.518569 -1.26026
588 0.518818 -1.26043
589 0.519177 -1.26063
590 0.519619 -1.26081
591 0.520093 -1.26112
592 0.520549 -1.26155
593 0.521003 -1.26191
594 0.521439 -1.26237
595 0.521866 -1.26277
596 0.522139 -1.26307
597 0.522345 -1.2632
598 0.522458 -1.26331
599 0.522404 -1.26329
600 0.522083 -1.26303
601 0.52188 -1.26313
602 0.521645 -1.26309
603 0.521493 -1.26312
604 0.521349 -1.26305
605 0.521339 -1.26309
606 0.52132 -1.26323
607 0.52131 -1.26329
608 0.521398 -1.26336
609 0.521552 -1.26353
610 0.521631 -1.26359
611 0.521637 -1.26372
612 0.521307 -1.26353
613 0.521093 -1.26352
614 0.52105 -1.2635
615 0.521089 -1.26374
616 0.521063 -1.26369
617 0.520956 -1.26355
618 0.520769 -1.26335
619 0.520606 -1.26328
620 0.520379 -1.26318
621 0.52025 -1.2633
622 0.520113 -1.26325
623 0.519944 -1.26327
624 0.51992 -1.26335
625 0.519848 -1.26344
626 0.519696 -1.26345
627 0.51945 -1.26344
628 0.519196 -1.26339
629 0.519022 -1.26324
630 0.518881 -1.26292
631 0.518803 -1.26281
632 0.518766 -1.26267
633 0.51876 -1.26256
634 0.518738 -1.2626
635 0.518764 -1.26272
636 0.518829 -1.26285
637 0.518823 -1.26281
638 0.518793 -1.26276
639 0.518709 -1.26268
640 0.518711 -1.26261
641 0.518768 -1.26253
642 0.518762 -1.26254
643 0.518872 -1.26258
644 0.518967 -1.2628
645 0.519031 -1.2629
646 0.519094 -1.26316
647 0.519096 -1.26329
648 0.519074 -1.26335
649 0.519083 -1.26345
650 0.519138 -1.26349
651 0.519078 -1.26353
652 0.519064 -1.26362
653 0.519112 -1.26374
654 0.519052 -1.26358
655 0.518939 -1.26347
656 0.51875 -1.26343
657 0.518531 -1.2633
658 0.518275 -1.26324
659 0.517989 -1.26311
660 0.517758 -1.26294
661 0.517511 -1.26274
662 0.517455 -1.26267
663 0.517436 -1.26279
664 0.517395 -1.26291
665 0.517361 -1.26307
666 0.517425 -1.2632
667 0.517316 -1.263
668 0.517118 -1.26266
669 0.516966 -1.26257
670 0.516866 -1.26255
671 0.516721 -1.2625
672 0.516525 -1.26246
673 0.516293 -1.26245
674 0.516046 -1.26226
675 0.515785 -1.2621
676 0.515636 -1.26207
677 0.515547 -1.26204
678 0.515428 -1.26208
679 0.515383 -1.26208
680 0.515265 -1.26193
681 0.515213 -1.26188
682 0.515279 -1.2621
683 0.515351 -1.26225
684 0.515336 -1.2623
685 0.515277 -1.26236
686 0.515357 -1.26255
687 0.515422 -1.26282
688 0.515436 -1.26302
689 0.515435 -1.26316
690 0.515232 -1.26306
691 0.515029 -1.26297
692 0.514798 -1.26285
693 0.514589 -1.26274
694 0.514186 -1.26256
695 0.51377 -1.26232
696 0.513534 -1.26224
697 0.513443 -1.26234
698 0.513288 -1.26234
699 0.513255 -1.26229
700 0.513236 -1.26223
701 0.513324 -1.26221
702 0.513469 -1.26214
703 0.513627 -1.26208
704 0.513835 -1.2621
705 0.514035 -1.26223
706 0.51432 -1.26254
707 0.514611 -1.26284
708 0.514908 -1.26326
709 0.515106 -1.26351
710 0.51519 -1.26368
711 0.515316 -1.26394
712 0.515386 -1.26404
713 0.515442 -1.26408
714 0.515581 -1.26429
715 0.515685 -1.26446
716 0.515838 -1.26466
717 0.515886 -1.26452
718 0.515884 -1.2645
719 0.515841 -1.26452
720 0.515729 -1.26447
721 0.515624 -1.26455
722 0.51554 -1.26465
723 0.515553 -1.26474
724 0.515552 -1.26483
725 0.515559 -1.26472
726 0.515572 -1.2646
727 0.51555 -1.26455
728 0.515515 -1.26457
729 0.515501 -1.26447
730 0.515445 -1.26438
731 0.51552 -1.26442
732 0.515601 -1.26441
733 0.515607 -1.26423
734 0.515654 -1.2641
735 0.515932 -1.26415
736 0.516175 -1.2641
737 0.516493 -1.26421
738 0.516789 -1.26434
739 0.517104 -1.26447
740 0.517554 -1.26492
741 0.517949 -1.26521
742 0.518309 -1.26546
743 0.518654 -1.26573
744 0.519012 -1.26594
745 0.519248 -1.26595
746 0.519471 -1.26595
747 0.519752 -1.26604
748 0.520094 -1.26623
749 0.520461 -1.26664
750 0.520887 -1.26707
751 0.521172 -1.26714
752 0.521523 -1.26738
753 0.521799 -1.26744
754 0.522023 -1.26737
755 0.522258 -1.26731
756 0.522526 -1.26741
757 0.522807 -1.26756
758 0.523166 -1.26784
759 0.523511 -1.2681
760 0.523928 -1.2685
761 0.52433 -1.26882
762 0.524718 -1.26916
763 0.525118 -1.26948
764 0.525425 -1.26966
765 0.525673 -1.2697
766 0.525875 -1.26978
767 0.52605 -1.26979
768 0.526198 -1.26988
769 0.526294 -1.27008
770 0.526357 -1.27026
771 0.526466 -1.27039
772 0.526516 -1.27041
773 0.526604 -1.27061
774 0.526854 -1.27074
775 0.527019 -1.27083
776 0.527171 -1.27097
777 0.52731 -1.27088
778 0.527494 -1.27089
779 0.527734 -1.27107
780 0.528032 -1.27133
781 0.528316 -1.27157
782 0.528606 -1.27171
783 0.528902 -1.27185
784 0.529279 -1.27216
785 0.529478 -1.27217
786 0.529637 -1.27215
787 0.529797 -1.27207
788 0.529975 -1.27204
789 0.530025 -1.27199
790 0.530101 -1.27203
791 0.530145 -1.27191
792 0.530133 -1.27177
793 0.530246 -1.27178
794 0.530397 -1.27183
795 0.530478 -1.27177
796 0.53059 -1.27185
797 0.530709 -1.27181
798 0.530783 -1.27172
799 0.530757 -1.27141
800 0.530738 -1.27117
801 0.530693 -1.27096
802 0.530623 -1.27065
803 0.530616 -1.27055
804 0.530678 -1.27039
805 0.530727 -1.27027
806 0.530676 -1.26999
807 0.530675 -1.26981
808 0.530644 -1.26976
809 0.5306 -1.26963
810 0.530562 -1.26947
811 0.530604 -1.26949
812 0.530653 -1.26954
813 0.530738 -1.26961
814 0.530842 -1.26958
815 0.531018 -1.26962
816 0.531232 -1.26973
817 0.531444 -1.26979
818 0.531663 -1.26988
819 0.531899 -1.27004
820 0.532177 -1.27021
821 0.532339 -1.27024
822 0.532451 -1.27028
823 0.532479 -1.27019
824 0.532524 -1.27023
825 0.532533 -1.27016
826 0.532621 -1.2701
827 0.532733 -1.27018
828 0.532929 -1.27028
829 0.533118 -1.27043
830 0.533277 -1.2704
831 0.533387 -1.27026
832 0.533468 -1.27018
833 0.533547 -1.27017
834 0.533711 -1.27023
835 0.53385 -1.27019
836 0.533965 -1.27019
837 0.534104 -1.27024
838 0.534278 -1.27032
839 0.534511 -1.27048
840 0.534702 -1.27057
841 0.534869 -1.27062
842 0.535006 -1.27074
843 0.53516 -1.27081
844 0.535344 -1.2709
845 0.535491 -1.27102
846 0.535656 -1.27102
847 0.535844 -1.2711
848 0.536114 -1.27113
849 0.536319 -1.27121
850 0.5365 -1.27121
851 0.536663 -1.27136
852 0.536737 -1.27146
853 0.536858 -1.27147
854 0.537002 -1.2715
855 0.537228 -1.27163
856 0.537424 -1.27179
857 0.537637 -1.27187
858 0.537809 -1.27197
859 0.537928 -1.27192
860 0.53807 -1.27195
861 0.538107 -1.27182
862 0.538155 -1.27166
863 0.538256 -1.27152
864 0.538345 -1.27144
865 0.538445 -1.27139
866 0.538551 -1.27135
867 0.538708 -1.27146
868 0.538819 -1.27138
869 0.538976 -1.27146
870 0.539057 -1.27143
871 0.539208 -1.27158
872 0.539358 -1.27163
873 0.539565 -1.27175
874 0.539777 -1.27185
875 0.540023 -1.2721
876 0.540371 -1.27248
877 0.54073 -1.27295
878 0.541076 -1.27333
879 0.541371 -1.27359
880 0.541625 -1.2738
881 0.541879 -1.27397
882 0.542149 -1.27418
883 0.542384 -1.27433
884 0.542596 -1.27438
885 0.542774 -1.27434
886 0.54294 -1.27433
887 0.543162 -1.27446
888 0.543316 -1.27458
889 0.54347 -1.27459
890 0.543584 -1.27458
891 0.543737 -1.27464
892 0.54384 -1.27467
893 0.54397 -1.27479
894 0.544161 -1.27493
895 0.544307 -1.27493
896 0.54447 -1.27496
897 0.544654 -1.27503
898 0.544822 -1.27509
899 0.544883 -1.27503
900 0.544872 -1.27487
901 0.544922 -1.27475
902 0.545044 -1.27476
903 0.54515 -1.27473
904 0.545321 -1.27485
905 0.545403 -1.27474
906 0.545524 -1.27466
907 0.545689 -1.27471
908 0.545793 -1.27469
909 0.54593 -1.27479
910 0.546077 -1.2748
911 0.546191 -1.27481
912 0.546305 -1.27477
913 0.546424 -1.27485
914 0.546636 -1.27495
915 0.546847 -1.27516
916 0.547003 -1.27534
917 0.547165 -1.27553
918 0.547266 -1.27571
919 0.547263 -1.27568
920 0.547261 -1.2757
921 0.547275 -1.2756
922 0.547375 -1.27572
923 0.547405 -1.27561
924 0.547359 -1.27553
925 0.54727 -1.27535
926 0.547208 -1.27524
927 0.547233 -1.27518
928 0.547284 -1.27508
929 0.547357 -1.27505
930 0.547371 -1.27496
931 0.547411 -1.2749
932 0.547387 -1.27485
933 0.547369 -1.27467
934 0.547339 -1.27451
935 0.547455 -1.27445
936 0.547639 -1.27464
937 0.547828 -1.27481
938 0.548006 -1.27505
939 0.548099 -1.27519
940 0.548213 -1.27521
941 0.548289 -1.27521
942 0.548365 -1.27534
943 0.548362 -1.27525
944 0.548353 -1.27514
945 0.54836 -1.27504
946 0.548414 -1.27507
947 0.548411 -1.27508
948 0.548376 -1.27506
949 0.54833 -1.27507
950 0.548279 -1.27502
951 0.548186 -1.27501
952 0.548062 -1.27489
953 0.547875 -1.27475
954 0.547731 -1.27472
955 0.547545 -1.27481
956 0.547406 -1.27491
957 0.547304 -1.27505
958 0.547296 -1.27522
959 0.547179 -1.27523
960 0.547083 -1.2753
961 0.546956 -1.27532
962 0.546835 -1.2754
963 0.546713 -1.27544
964 0.546618 -1.27537
965 0.546497 -1.27527
966 0.546465 -1.27519
967 0.546505 -1.27511
968 0.546508 -1.27506
969 0.546507 -1.27503
