MC_samples M E
686 0.999118 -1.9965
687 0.999119 -1.99651
688 0.999121 -1.99651
689 0.999122 -1.99652
690 0.999123 -1.99652
691 0.999124 -1.99653
692 0.999118 -1.9965
693 0.999113 -1.99648
694 0.999114 -1.99648
695 0.999115 -1.99649
696 0.999116 -1.99649
697 0.999118 -1.9965
698 0.999119 -1.9965
699 0.99912 -1.99651
700 0.999121 -1.99651
701 0.999123 -1.99652
702 0.999124 -1.99652
703 0.999125 -1.99653
704 0.999126 -1.99653
705 0.999128 -1.99654
706 0.999129 -1.99654
707 0.99913 -1.99655
708 0.999131 -1.99655
709 0.999133 -1.99656
710 0.999134 -1.99656
711 0.999135 -1.99657
712 0.999136 -1.99657
713 0.999137 -1.99658
714 0.999139 -1.99658
715 0.99914 -1.99659
716 0.999141 -1.99659
717 0.999142 -1.9966
718 0.999143 -1.9966
719 0.999145 -1.99661
720 0.999146 -1.99661
721 0.999147 -1.99662
722 0.999148 -1.99662
723 0.999149 -1.99663
724 0.999151 -1.99663
725 0.999152 -1.99663
726 0.999153 -1.99664
727 0.999154 -1.99664
728 0.999148 -1.99662
729 0.99915 -1.99663
730 0.999151 -1.99663
731 0.999152 -1.99663
732 0.999153 -1.99664
733 0.999154 -1.99664
734 0.999142 -1.99659
735 0.999143 -1.9966
736 0.99913 -1.99656
737 0.999125 -1.99654
738 0.999119 -1.99652
739 0.99912 -1.99652
740 0.999122 -1.99653
741 0.999123 -1.99653
742 0.999124 -1.99654
743 0.999125 -1.99654
744 0.999126 -1.99655
745 0.999128 -1.99655
746 0.999122 -1.99653
747 0.999123 -1.99653
748 0.999118 -1.99651
749 0.999112 -1.99649
750 0.9991 -1.99645
751 0.999095 -1.99643
752 0.999096 -1.99644
753 0.999097 -1.99644
754 0.999098 -1.99645
755 0.999099 -1.99645
756 0.999101 -1.99646
757 0.999102 -1.99646
758 0.999103 -1.99646
759 0.999104 -1.99647
760 0.999105 -1.99647
761 0.999106 -1.99648
762 0.999108 -1.99648
763 0.999109 -1.99649
764 0.99911 -1.99649
765 0.999111 -1.9965
766 0.999112 -1.9965
767 0.999107 -1.99648
768 0.999108 -1.99648
769 0.999109 -1.99649
770 0.99911 -1.99649
771 0.999112 -1.9965
772 0.999113 -1.9965
773 0.999114 -1.99651
774 0.999115 -1.99651
775 0.999116 -1.99652
776 0.999117 -1.99652
777 0.999118 -1.99653
778 0.99912 -1.99653
779 0.999121 -1.99653
780 0.999122 -1.99654
781 0.999123 -1.99654
782 0.999124 -1.99655
783 0.999125 -1.99655
784 0.99912 -1.99653
785 0.999121 -1.99654
786 0.999122 -1.99654
787 0.999123 -1.99654
788 0.999124 -1.99655
789 0.999125 -1.99655
790 0.999127 -1.99656
791 0.999128 -1.99656
792 0.999129 -1.99657
793 0.99913 -1.99657
794 0.999131 -1.99657
795 0.999132 -1.99658
796 0.999133 -1.99658
797 0.999134 -1.99659
798 0.999129 -1.99657
799 0.99913 -1.99657
800 0.999131 -1.99657
801 0.999132 -1.99658
802 0.999133 -1.99658
803 0.999134 -1.99659
804 0.999136 -1.99659
805 0.999137 -1.9966
806 0.999138 -1.9966
807 0.999139 -1.9966
808 0.99914 -1.99661
809 0.999141 -1.99661
810 0.999142 -1.99662
811 0.999143 -1.99662
812 0.999144 -1.99663
813 0.999145 -1.99663
814 0.999146 -1.99663
815 0.999147 -1.99664
816 0.999148 -1.99664
817 0.999143 -1.99662
818 0.999144 -1.99663
819 0.999145 -1.99663
820 0.999146 -1.99663
821 0.999141 -1.99661
822 0.999136 -1.99659
823 0.999131 -1.99657
824 0.999132 -1.99658
825 0.999133 -1.99658
826 0.999134 -1.99659
827 0.999135 -1.99659
828 0.999136 -1.99659
829 0.999138 -1.9966
830 0.999139 -1.9966
831 0.99914 -1.99661
832 0.999141 -1.99661
833 0.999136 -1.99659
834 0.999137 -1.99659
835 0.999132 -1.99657
836 0.999133 -1.99658
837 0.999134 -1.99658
838 0.999135 -1.99659
839 0.999136 -1.99659
840 0.999137 -1.9966
841 0.999138 -1.9966
842 0.999139 -1.9966
843 0.99914 -1.99661
844 0.999141 -1.99661
845 0.999136 -1.99659
846 0.999131 -1.99657
847 0.999132 -1.99658
848 0.999133 -1.99658
849 0.999134 -1.99658
850 0.999135 -1.99659
851 0.999136 -1.99659
852 0.999137 -1.9966
853 0.999138 -1.9966
854 0.999139 -1.9966
855 0.99914 -1.99661
856 0.999141 -1.99661
857 0.999142 -1.99662
858 0.999143 -1.99662
859 0.999144 -1.99662
860 0.999145 -1.99663
861 0.999146 -1.99663
862 0.999147 -1.99664
863 0.999148 -1.99664
864 0.999149 -1.99664
865 0.99915 -1.99665
866 0.999151 -1.99665
867 0.999152 -1.99666
868 0.999153 -1.99666
869 0.999154 -1.99666
870 0.999155 -1.99667
871 0.999156 -1.99667
872 0.999157 -1.99667
873 0.999158 -1.99668
874 0.999159 -1.99668
875 0.99916 -1.99669
876 0.999161 -1.99669
877 0.999162 -1.99669
878 0.999157 -1.99667
879 0.999158 -1.99668
880 0.999159 -1.99668
881 0.99916 -1.99669
882 0.999161 -1.99669
883 0.999162 -1.99669
884 0.999163 -1.9967
885 0.999158 -1.99668
886 0.999159 -1.99668
887 0.99916 -1.99669
888 0.999161 -1.99669
889 0.999162 -1.99669
890 0.999157 -1.99667
891 0.999158 -1.99668
892 0.999159 -1.99668
893 0.99916 -1.99669
894 0.999155 -1.99667
895 0.999151 -1.99665
896 0.999146 -1.99663
897 0.999147 -1.99663
898 0.999148 -1.99664
899 0.999149 -1.99664
900 0.99915 -1.99664
901 0.999151 -1.99665
902 0.999152 -1.99665
903 0.999153 -1.99666
904 0.999154 -1.99666
905 0.999155 -1.99666
906 0.999156 -1.99667
907 0.999157 -1.99667
908 0.999152 -1.99665
909 0.999147 -1.99663
910 0.999143 -1.99662
911 0.999144 -1.99662
912 0.999145 -1.99662
913 0.999146 -1.99663
914 0.999147 -1.99663
915 0.999148 -1.99663
916 0.999148 -1.99664
917 0.999149 -1.99664
918 0.99915 -1.99664
919 0.999151 -1.99665
920 0.999152 -1.99665
