MC_samples M E
476 0.998929 -1.99588
477 0.998931 -1.99589
478 0.998933 -1.9959
479 0.998935 -1.99591
480 0.998937 -1.99592
481 0.99894 -1.99593
482 0.998942 -1.99593
483 0.998934 -1.9959
484 0.998936 -1.99591
485 0.998938 -1.99592
486 0.99894 -1.99593
487 0.998943 -1.99593
488 0.998945 -1.99594
489 0.998947 -1.99595
490 0.998949 -1.99596
491 0.998951 -1.99597
492 0.998953 -1.99598
493 0.998955 -1.99598
494 0.998957 -1.99599
495 0.99896 -1.996
496 0.998962 -1.99601
497 0.998964 -1.99602
498 0.998966 -1.99602
499 0.998968 -1.99603
500 0.99897 -1.99604
501 0.998972 -1.99605
502 0.998974 -1.99606
503 0.998976 -1.99606
504 0.998968 -1.99603
505 0.99896 -1.996
506 0.998943 -1.99593
507 0.998925 -1.99586
508 0.998907 -1.99579
509 0.9989 -1.99576
510 0.998902 -1.99576
511 0.998904 -1.99577
512 0.998906 -1.99578
513 0.998908 -1.99579
514 0.998911 -1.9958
515 0.998913 -1.99581
516 0.998915 -1.99581
517 0.998917 -1.99582
518 0.998919 -1.99583
519 0.998921 -1.99584
520 0.998923 -1.99585
521 0.998925 -1.99585
522 0.998927 -1.99586
523 0.998929 -1.99587
524 0.998931 -1.99588
525 0.998933 -1.99589
526 0.998935 -1.99589
527 0.998937 -1.9959
528 0.998939 -1.99591
529 0.998941 -1.99592
530 0.998943 -1.99592
531 0.998945 -1.99593
532 0.998947 -1.99594
533 0.998949 -1.99595
534 0.998951 -1.99596
535 0.998953 -1.99596
536 0.998946 -1.99593
537 0.998939 -1.9959
538 0.998941 -1.99591
539 0.998942 -1.99592
540 0.998944 -1.99593
541 0.998946 -1.99593
542 0.998948 -1.99594
543 0.99895 -1.99595
544 0.998952 -1.99596
545 0.998954 -1.99596
546 0.998956 -1.99597
547 0.998958 -1.99598
548 0.99896 -1.99599
549 0.998962 -1.99599
550 0.998964 -1.996
551 0.998966 -1.99601
552 0.998967 -1.99601
553 0.998969 -1.99602
554 0.998971 -1.99603
555 0.998973 -1.99604
556 0.998975 -1.99604
557 0.998977 -1.99605
558 0.998978 -1.99606
559 0.99898 -1.99606
560 0.998982 -1.99607
561 0.998984 -1.99608
562 0.998986 -1.99609
563 0.998988 -1.99609
564 0.998989 -1.9961
565 0.998991 -1.99611
566 0.998993 -1.99611
567 0.998995 -1.99612
568 0.998996 -1.99613
569 0.998998 -1.99613
570 0.999 -1.99614
571 0.999002 -1.99615
572 0.999003 -1.99615
573 0.999005 -1.99616
574 0.999007 -1.99617
575 0.999009 -1.99617
576 0.99901 -1.99618
577 0.999012 -1.99619
578 0.999014 -1.99619
579 0.999016 -1.9962
580 0.999017 -1.99621
581 0.999019 -1.99621
582 0.999021 -1.99622
583 0.999022 -1.99623
584 0.999024 -1.99623
585 0.999026 -1.99624
586 0.999027 -1.99625
587 0.99902 -1.99622
588 0.999014 -1.99619
589 0.999007 -1.99616
590 0.999008 -1.99617
591 0.99901 -1.99618
592 0.999012 -1.99618
593 0.999013 -1.99619
594 0.999015 -1.9962
595 0.999017 -1.9962
596 0.999018 -1.99621
597 0.99902 -1.99621
598 0.999022 -1.99622
599 0.999015 -1.99619
600 0.999008 -1.99617
601 0.99901 -1.99617
602 0.999012 -1.99618
603 0.999013 -1.99619
604 0.999015 -1.99619
605 0.999017 -1.9962
606 0.99901 -1.99617
607 0.999012 -1.99618
608 0.999013 -1.99618
609 0.999015 -1.99619
610 0.999016 -1.9962
611 0.999018 -1.9962
612 0.99902 -1.99621
613 0.999021 -1.99622
614 0.999023 -1.99622
615 0.999016 -1.9962
616 0.999018 -1.9962
617 0.999019 -1.99621
618 0.999021 -1.99621
619 0.999023 -1.99622
620 0.999024 -1.99623
621 0.999026 -1.99623
622 0.999027 -1.99624
623 0.999029 -1.99624
624 0.99903 -1.99625
625 0.999032 -1.99626
626 0.999026 -1.99623
627 0.999019 -1.9962
628 0.999013 -1.99618
629 0.999014 -1.99618
630 0.999016 -1.99619
631 0.999017 -1.9962
632 0.999019 -1.9962
633 0.999021 -1.99621
634 0.999022 -1.99621
635 0.999016 -1.99619
636 0.999017 -1.99619
637 0.999019 -1.9962
638 0.99902 -1.99621
639 0.999022 -1.99621
640 0.999023 -1.99622
641 0.999025 -1.99622
642 0.999026 -1.99623
643 0.999028 -1.99624
644 0.999022 -1.99621
645 0.999023 -1.99622
646 0.999017 -1.99619
647 0.999019 -1.9962
648 0.99902 -1.9962
649 0.999022 -1.99621
650 0.999023 -1.99622
651 0.999025 -1.99622
652 0.999026 -1.99623
653 0.999028 -1.99623
654 0.999029 -1.99624
655 0.999023 -1.99621
656 0.999017 -1.99619
657 0.999018 -1.99619
658 0.99902 -1.9962
659 0.999021 -1.99621
660 0.999023 -1.99621
661 0.999024 -1.99622
662 0.999026 -1.99622
663 0.99902 -1.9962
664 0.999021 -1.9962
665 0.999023 -1.99621
666 0.999024 -1.99622
667 0.999025 -1.99622
668 0.999027 -1.99623
669 0.999028 -1.99623
670 0.99903 -1.99624
671 0.999024 -1.99621
672 0.999025 -1.99622
673 0.999027 -1.99623
674 0.999028 -1.99623
675 0.99903 -1.99624
676 0.999031 -1.99624
677 0.999032 -1.99625
678 0.999034 -1.99625
679 0.999035 -1.99626
680 0.999037 -1.99626
681 0.999038 -1.99627
682 0.999032 -1.99625
683 0.999026 -1.99622
684 0.99902 -1.9962
685 0.999015 -1.99618
686 0.999016 -1.99618
687 0.999017 -1.99619
688 0.999019 -1.99619
689 0.999013 -1.99617
690 0.999007 -1.99614
691 0.999009 -1.99615
692 0.99901 -1.99616
693 0.999012 -1.99616
694 0.999013 -1.99617
695 0.999014 -1.99617
696 0.999016 -1.99618
697 0.999017 -1.99618
698 0.999019 -1.99619
699 0.99902 -1.99619
700 0.999014 -1.99617
701 0.999009 -1.99615
702 0.99901 -1.99615
703 0.999011 -1.99616
704 0.999013 -1.99616
705 0.999014 -1.99617
706 0.999016 -1.99618
707 0.999017 -1.99618
708 0.999018 -1.99619
709 0.99902 -1.99619
710 0.999021 -1.9962
711 0.999023 -1.9962
712 0.999024 -1.99621
713 0.999025 -1.99621
714 0.999027 -1.99622
715 0.999028 -1.99622
716 0.999029 -1.99623
717 0.999031 -1.99623
718 0.999032 -1.99624
719 0.999033 -1.99624
720 0.999035 -1.99625
721 0.999036 -1.99626
722 0.999037 -1.99626
723 0.999039 -1.99627
724 0.99904 -1.99627
725 0.999041 -1.99628
726 0.999043 -1.99628
727 0.999044 -1.99629
728 0.999045 -1.99629
729 0.999047 -1.9963
730 0.999048 -1.9963
731 0.999049 -1.99631
732 0.999051 -1.99631
733 0.999052 -1.99632
734 0.999053 -1.99632
735 0.999054 -1.99633
736 0.999056 -1.99633
737 0.999057 -1.99634
738 0.999058 -1.99634
739 0.99906 -1.99635
740 0.999061 -1.99635
741 0.999062 -1.99636
742 0.999063 -1.99636
743 0.999065 -1.99637
744 0.999066 -1.99637
745 0.999067 -1.99638
746 0.999068 -1.99638
747 0.99907 -1.99639
748 0.999071 -1.99639
749 0.999065 -1.99637
750 0.99906 -1.99635
751 0.999061 -1.99635
752 0.999062 -1.99636
753 0.999064 -1.99636
754 0.999065 -1.99637
755 0.999066 -1.99637
756 0.999067 -1.99638
757 0.999069 -1.99638
758 0.99907 -1.99639
759 0.999071 -1.99639
760 0.999072 -1.99639
761 0.999074 -1.9964
762 0.999075 -1.9964
763 0.999076 -1.99641
764 0.999077 -1.99641
765 0.999078 -1.99642
766 0.99908 -1.99642
767 0.999081 -1.99643
768 0.999082 -1.99643
769 0.999083 -1.99644
770 0.999084 -1.99644
771 0.999086 -1.99645
772 0.999087 -1.99645
773 0.999088 -1.99646
774 0.999089 -1.99646
775 0.99909 -1.99646
776 0.999091 -1.99647
777 0.999093 -1.99647
778 0.999087 -1.99645
779 0.999082 -1.99643
780 0.999083 -1.99644
781 0.999078 -1.99641
782 0.999073 -1.99639
783 0.999068 -1.99637
784 0.999069 -1.99638
785 0.99907 -1.99638
786 0.999071 -1.99639
787 0.999072 -1.99639
788 0.999074 -1.9964
789 0.999075 -1.9964
790 0.999076 -1.99641
791 0.999077 -1.99641
792 0.999078 -1.99641
793 0.999079 -1.99642
794 0.999081 -1.99642
795 0.999082 -1.99643
796 0.999083 -1.99643
797 0.999084 -1.99644
798 0.999085 -1.99644
799 0.999086 -1.99645
800 0.999087 -1.99645
801 0.999089 -1.99645
802 0.99909 -1.99646
803 0.999091 -1.99646
804 0.999086 -1.99644
805 0.999081 -1.99642
806 0.999076 -1.9964
807 0.999071 -1.99638
808 0.999072 -1.99639
809 0.999073 -1.99639
810 0.999074 -1.9964
811 0.999075 -1.9964
812 0.999076 -1.9964
813 0.999077 -1.99641
814 0.999079 -1.99641
815 0.99908 -1.99642
816 0.999081 -1.99642
817 0.999082 -1.99643
818 0.999077 -1.99641
819 0.999078 -1.99641
820 0.999079 -1.99641
821 0.99908 -1.99642
822 0.999082 -1.99642
823 0.999083 -1.99643
824 0.999084 -1.99643
825 0.999085 -1.99644
826 0.999086 -1.99644
827 0.999087 -1.99644
828 0.999088 -1.99645
829 0.999089 -1.99645
830 0.99909 -1.99646
831 0.999091 -1.99646
832 0.999093 -1.99647
833 0.999094 -1.99647
834 0.999095 -1.99647
835 0.999096 -1.99648
836 0.999097 -1.99648
837 0.999098 -1.99649
838 0.999099 -1.99649
839 0.999094 -1.99647
840 0.999095 -1.99648
841 0.999096 -1.99648
842 0.999097 -1.99648
843 0.999098 -1.99649
844 0.9991 -1.99649
845 0.999101 -1.9965
846 0.999102 -1.9965
847 0.999103 -1.99651
848 0.999104 -1.99651
849 0.999105 -1.99651
850 0.999106 -1.99652
851 0.999107 -1.99652
852 0.999108 -1.99653
853 0.999109 -1.99653
854 0.99911 -1.99653
855 0.999111 -1.99654
856 0.999112 -1.99654
857 0.999113 -1.99655
858 0.999114 -1.99655
859 0.999115 -1.99655
860 0.999116 -1.99656
861 0.999117 -1.99656
862 0.999118 -1.99657
863 0.999119 -1.99657
864 0.99912 -1.99657
865 0.999121 -1.99658
866 0.999122 -1.99658
867 0.999123 -1.99659
868 0.999124 -1.99659
869 0.999125 -1.99659
870 0.999126 -1.9966
871 0.999127 -1.9966
872 0.999128 -1.99661
873 0.999129 -1.99661
874 0.99913 -1.99661
875 0.999131 -1.99662
876 0.999132 -1.99662
877 0.999133 -1.99662
878 0.999134 -1.99663
879 0.999135 -1.99663
880 0.999136 -1.99664
881 0.999137 -1.99664
882 0.999138 -1.99664
883 0.999139 -1.99665
884 0.99914 -1.99665
885 0.999141 -1.99666
886 0.999142 -1.99666
887 0.999143 -1.99666
888 0.999144 -1.99667
889 0.999145 -1.99667
890 0.999146 -1.99667
891 0.999147 -1.99668
892 0.999148 -1.99668
893 0.999143 -1.99666
894 0.999144 -1.99667
895 0.999145 -1.99667
896 0.999146 -1.99667
897 0.999147 -1.99668
898 0.999148 -1.99668
899 0.999149 -1.99669
900 0.99915 -1.99669
901 0.999151 -1.99669
902 0.999152 -1.9967
903 0.999153 -1.9967
904 0.999154 -1.9967
905 0.999155 -1.99671
906 0.99915 -1.99669
907 0.999146 -1.99667
908 0.999146 -1.99667
909 0.999142 -1.99666
910 0.999143 -1.99666
911 0.999138 -1.99664
912 0.999139 -1.99664
913 0.99914 -1.99665
914 0.999141 -1.99665
915 0.999142 -1.99666
916 0.999143 -1.99666
917 0.999144 -1.99666
918 0.999145 -1.99667
919 0.999146 -1.99667
920 0.999147 -1.99667
921 0.999148 -1.99668
922 0.999149 -1.99668
923 0.999144 -1.99666
924 0.99914 -1.99665
925 0.999141 -1.99665
926 0.999141 -1.99665
927 0.999142 -1.99666
928 0.999143 -1.99666
929 0.999144 -1.99666
930 0.999145 -1.99667
931 0.999146 -1.99667
932 0.999147 -1.99667
933 0.999148 -1.99668
934 0.999149 -1.99668
935 0.999144 -1.99666
936 0.999145 -1.99667
937 0.999146 -1.99667
938 0.999147 -1.99667
939 0.999148 -1.99668
940 0.999149 -1.99668
941 0.99915 -1.99668
942 0.999151 -1.99669
943 0.999152 -1.99669
944 0.999153 -1.99669
945 0.999153 -1.9967
946 0.999154 -1.9967
947 0.999155 -1.99671
948 0.999156 -1.99671
949 0.999157 -1.99671
950 0.999158 -1.99672
951 0.999159 -1.99672
952 0.99916 -1.99672
953 0.999161 -1.99673
954 0.999161 -1.99673
955 0.999157 -1.99671
956 0.999153 -1.99669
957 0.999154 -1.9967
958 0.999154 -1.9967
959 0.999155 -1.9967
960 0.999156 -1.99671
961 0.999157 -1.99671
962 0.999158 -1.99672
963 0.999159 -1.99672
964 0.99916 -1.99672
965 0.999161 -1.99673
966 0.999161 -1.99673
967 0.999162 -1.99673
968 0.999163 -1.99674
969 0.999164 -1.99674
970 0.999165 -1.99674
971 0.999166 -1.99675
972 0.999162 -1.99673
973 0.999162 -1.99673
974 0.999163 -1.99674
975 0.999164 -1.99674
976 0.999165 -1.99674
977 0.999166 -1.99675
978 0.999167 -1.99675
979 0.999168 -1.99675
980 0.999168 -1.99676
981 0.999164 -1.99674
982 0.999165 -1.99674
983 0.999166 -1.99674
984 0.999162 -1.99673
985 0.999162 -1.99673
986 0.999163 -1.99673
987 0.999164 -1.99674
988 0.999165 -1.99674
989 0.999161 -1.99672
990 0.999162 -1.99673
991 0.999157 -1.99671
992 0.999148 -1.99668
993 0.999139 -1.99665
994 0.99913 -1.99661
995 0.999126 -1.99659
996 0.999127 -1.9966
997 0.999127 -1.9966
998 0.999128 -1.9966
999 0.999129 -1.99661
1000 0.99913 -1.99661
1001 0.999131 -1.99661
1002 0.999132 -1.99662
1003 0.999133 -1.99662
1004 0.999133 -1.99662
1005 0.999134 -1.99663
1006 0.99913 -1.99661
1007 0.999126 -1.99659
1008 0.999122 -1.99658
1009 0.999123 -1.99658
1010 0.999124 -1.99658
1011 0.999125 -1.99659
1012 0.999125 -1.99659
1013 0.999126 -1.99659
1014 0.999127 -1.9966
1015 0.999123 -1.99658
1016 0.999119 -1.99656
