MC_samples M E
335 0.999448 -1.99782
336 0.999449 -1.99783
337 0.999436 -1.99777
338 0.999438 -1.99778
339 0.99944 -1.99779
340 0.999441 -1.99779
341 0.999443 -1.9978
342 0.999444 -1.99781
343 0.999446 -1.99781
344 0.999448 -1.99782
345 0.999449 -1.99783
346 0.999451 -1.99783
347 0.999452 -1.99784
348 0.999454 -1.99784
349 0.999456 -1.99785
350 0.999457 -1.99786
351 0.999459 -1.99786
352 0.99946 -1.99787
353 0.999462 -1.99788
354 0.999463 -1.99788
355 0.999465 -1.99789
356 0.999466 -1.99789
357 0.999468 -1.9979
358 0.999469 -1.99791
359 0.999471 -1.99791
360 0.999472 -1.99792
361 0.999474 -1.99792
362 0.999475 -1.99793
363 0.999477 -1.99793
364 0.999478 -1.99794
365 0.999479 -1.99795
366 0.999481 -1.99795
367 0.999482 -1.99796
368 0.999484 -1.99796
369 0.999485 -1.99797
370 0.999486 -1.99797
371 0.999474 -1.99792
372 0.999462 -1.99788
373 0.999464 -1.99788
374 0.999465 -1.99789
375 0.999467 -1.99789
376 0.999468 -1.9979
377 0.999469 -1.9979
378 0.999471 -1.99791
379 0.999472 -1.99792
380 0.999461 -1.99787
381 0.999436 -1.99777
382 0.999424 -1.99772
383 0.999413 -1.99768
384 0.999401 -1.99763
385 0.99939 -1.99758
386 0.999378 -1.99754
387 0.99938 -1.99755
388 0.999381 -1.99755
389 0.999383 -1.99756
390 0.999385 -1.99756
391 0.999386 -1.99757
392 0.999388 -1.99758
393 0.999389 -1.99758
394 0.999391 -1.99759
395 0.999392 -1.99759
396 0.999394 -1.9976
397 0.999395 -1.99761
398 0.999397 -1.99761
399 0.999398 -1.99762
400 0.9994 -1.99762
401 0.999401 -1.99763
402 0.999403 -1.99764
403 0.999404 -1.99764
404 0.999406 -1.99765
405 0.999407 -1.99765
406 0.999409 -1.99766
407 0.99941 -1.99767
408 0.999412 -1.99767
409 0.999413 -1.99768
410 0.999415 -1.99768
411 0.999416 -1.99769
412 0.999417 -1.99769
413 0.999419 -1.9977
414 0.99942 -1.99771
415 0.999422 -1.99771
416 0.999423 -1.99772
417 0.999412 -1.99767
418 0.999414 -1.99768
419 0.999415 -1.99768
420 0.999417 -1.99769
421 0.999418 -1.9977
422 0.999419 -1.9977
423 0.999421 -1.99771
424 0.999422 -1.99771
425 0.999424 -1.99772
426 0.999425 -1.99772
427 0.999426 -1.99773
428 0.999428 -1.99773
429 0.999429 -1.99774
430 0.99943 -1.99774
431 0.999432 -1.99775
432 0.999433 -1.99775
433 0.999423 -1.99771
434 0.999424 -1.99772
435 0.999425 -1.99772
436 0.999427 -1.99773
