T M E Susceptibility Cv
2.05200 0.887929 -1.70376 -9.44684 0.941541
2.05300 0.888617 -1.70304 0.432733 0.928571
2.05400 0.886597 -1.70201 -9.09292 0.950848
2.05500 0.886854 -1.70137 0.429239 0.950595
2.05600 0.886029 -1.70040 -86.0216 0.950927
2.05700 0.885515 -1.69938 0.429763 0.970033
2.05800 0.884753 -1.69849 -84.8415 0.966563
2.05900 0.885545 -1.69808 -37.3962 0.950945
2.06000 0.885935 -1.69746 0.430044 0.942899
2.06100 0.885192 -1.69659 -8.98463 0.954358
2.06200 0.882143 -1.69495 0.425897 0.990212
2.06300 0.884205 -1.69462 -8.90534 0.951912
2.06400 0.882065 -1.69339 -84.9743 0.981869
2.06500 0.882300 -1.69275 -84.6350 0.972170
2.06600 0.882978 -1.69213 -84.2417 0.958102
2.06700 0.880805 -1.69108 -9.45208 0.988751
2.06800 0.882613 -1.69074 -37.1951 0.956835
2.06900 0.880460 -1.68951 -84.0689 0.982340
2.07000 0.879880 -1.68805 -83.6320 0.984005
2.07100 0.880352 -1.68775 -9.19175 0.978070
2.07200 0.880063 -1.68698 -36.8836 0.977096
2.07300 0.880205 -1.68653 -8.98547 0.968623
2.07400 0.879087 -1.68508 0.423812 0.984068
2.07500 0.875823 -1.68352 -81.5283 1.02333
2.07600 0.877303 -1.68329 -8.91329 0.997786
2.07700 0.877142 -1.68232 -83.0657 1.00514
2.07800 0.876105 -1.68114 -147.609 1.01196
2.07900 0.877313 -1.68079 -8.86568 0.987571
2.08000 0.876490 -1.67985 -36.1455 0.993125
2.08100 0.875162 -1.67861 -8.62638 1.00128
2.08200 0.873201 -1.67746 -8.81141 1.03206
2.08300 0.873840 -1.67648 -8.70658 1.00909
2.08400 0.872781 -1.67556 -8.75465 1.02553
2.08500 0.872553 -1.67459 -35.7175 1.02162
2.08600 0.872881 -1.67437 -36.1236 1.01570
2.08700 0.871805 -1.67313 0.417720 1.02864
2.08800 0.868551 -1.67106 -9.09441 1.06778
2.08900 0.870915 -1.67155 -8.86641 1.03265
2.09000 0.871003 -1.67031 -8.46342 1.02323
2.09100 0.869249 -1.66920 -8.68139 1.04118
2.09200 0.869852 -1.66845 -8.42722 1.02856
2.09300 0.868484 -1.66758 0.413647 1.04518
2.09400 0.869420 -1.66689 -80.7079 1.02121
2.09500 0.868036 -1.66546 -35.3807 1.04646
2.09600 0.867094 -1.66457 -36.3053 1.05095
2.09700 0.867454 -1.66381 -80.2942 1.04885
2.09800 0.866528 -1.66296 -8.50605 1.04648
2.09900 0.866186 -1.66203 0.412088 1.04755
2.10000 0.865717 -1.66105 0.412229 1.05638
2.10100 0.862879 -1.65949 -8.93991 1.08570
2.10200 0.864909 -1.65914 -79.7393 1.05431
2.10300 0.864923 -1.65821 -8.46180 1.04794
2.10400 0.863950 -1.65735 -35.3603 1.06344
2.10500 0.862447 -1.65574 -34.7718 1.07080
2.10600 0.861720 -1.65523 -34.8446 1.07155
2.10700 0.861741 -1.65433 -79.3152 1.06605
2.10800 0.859980 -1.65275 -34.4312 1.08419
2.10900 0.859652 -1.65221 0.407607 1.09402
2.11000 0.860011 -1.65105 -8.34846 1.06622
2.11100 0.858639 -1.64995 -217.352 1.09132
2.11200 0.857221 -1.64832 -34.5738 1.10253
2.11300 0.856703 -1.64772 -34.5877 1.10444
2.11400 0.857490 -1.64718 -34.4835 1.09136
2.11500 0.856445 -1.64611 -34.3819 1.10152
2.11600 0.856988 -1.64548 0.404919 1.08801
2.11700 0.853541 -1.64341 0.402994 1.13016
2.11800 0.853721 -1.64303 -8.30433 1.12647
2.11900 0.853163 -1.64198 -8.47801 1.12325
2.12000 0.853653 -1.64145 0.401908 1.11245
2.12100 0.853246 -1.64007 -8.09765 1.11890
2.12200 0.853998 -1.63974 -33.8953 1.09327
2.12300 0.852875 -1.63835 -34.0472 1.10823
2.12400 0.849976 -1.63669 -8.18430 1.14718
2.12500 0.850499 -1.63593 -8.22181 1.12593
2.12600 0.849908 -1.63465 0.399539 1.13406
2.12700 0.847387 -1.63317 -8.35300 1.15115
2.12800 0.848366 -1.63252 -33.6480 1.13967
2.12900 0.848250 -1.63190 -8.05296 1.13808
2.13000 0.846720 -1.63047 -33.1779 1.15363
2.13100 0.845241 -1.62928 -8.12053 1.16238
2.13200 0.846733 -1.62908 0.397023 1.14023
2.13300 0.844529 -1.62739 -7.85705 1.16499
2.13400 0.843544 -1.62601 -7.82983 1.17276
2.13500 0.842498 -1.62496 -73.7886 1.18012
2.13600 0.840647 -1.62370 -8.24379 1.20202
2.13700 0.842703 -1.62334 -74.4892 1.16714
2.13800 0.841058 -1.62182 -32.2871 1.18066
2.13900 0.841208 -1.62123 -32.6081 1.17057
2.14000 0.839473 -1.61948 0.392075 1.18900
2.14100 0.836687 -1.61764 -51.5379 1.21634
2.14200 0.839611 -1.61788 -32.3130 1.18009
2.14300 0.836624 -1.61623 -32.2835 1.20834
2.14400 0.836885 -1.61523 -7.67012 1.20126
2.14500 0.833979 -1.61353 -7.98282 1.23308
2.14600 0.834378 -1.61261 -94.0130 1.21751
2.14700 0.833509 -1.61180 0.387525 1.23244
2.14800 0.832821 -1.61030 0.384736 1.22462
2.14900 0.832455 -1.60936 -7.49697 1.23331
2.15000 0.832461 -1.60851 -32.0995 1.22408
2.15100 0.832167 -1.60760 -7.65957 1.21479
2.15200 0.832056 -1.60676 -128.849 1.21341
2.15300 0.829567 -1.60496 0.383864 1.23676
2.15400 0.827989 -1.60382 -30.8920 1.25155
2.15500 0.827517 -1.60238 -7.59437 1.24473
2.15600 0.826060 -1.60129 -31.7131 1.25891
2.15700 0.826792 -1.60088 -71.0033 1.26057
2.15800 0.825830 -1.59909 -125.322 1.25237
2.15900 0.825103 -1.59811 0.381658 1.25057
2.16000 0.824139 -1.59714 -7.54734 1.25837
2.16100 0.823032 -1.59568 0.380708 1.26425
2.16200 0.820770 -1.59386 -30.3630 1.28449
2.16300 0.820990 -1.59323 -7.33521 1.27730
2.16400 0.820263 -1.59229 -47.6557 1.27788
2.16500 0.818676 -1.59057 0.372446 1.29852
2.16600 0.817848 -1.58966 -7.20221 1.29572
2.16700 0.817589 -1.58837 -7.57522 1.30064
2.16800 0.816957 -1.58719 -123.523 1.30400
2.16900 0.815159 -1.58592 -30.3539 1.30905
2.17000 0.814554 -1.58492 0.375365 1.32356
2.17100 0.814226 -1.58379 -6.93998 1.31324
2.17200 0.812839 -1.58265 -30.5564 1.32389
2.17300 0.812877 -1.58170 -29.8461 1.31580
2.17400 0.811521 -1.57996 -7.03718 1.31892
2.17500 0.809718 -1.57861 0.371798 1.34349
2.17600 0.808069 -1.57769 -34.8406 1.34900
2.17700 0.808642 -1.57637 -29.5111 1.33798
2.17800 0.805501 -1.57411 -119.419 1.37466
2.17900 0.803772 -1.57264 -6.53044 1.36906
2.18000 0.804379 -1.57234 -30.4892 1.36660
2.18100 0.801417 -1.57032 -28.5369 1.39102
2.18200 0.802336 -1.56960 -1.13566 1.37697
2.18300 0.801325 -1.56859 -2.12698 1.38103
2.18400 0.798905 -1.56664 -1.53342 1.39720
2.18500 0.797610 -1.56520 -7.40259 1.40158
2.18600 0.797577 -1.56380 -28.3072 1.39828
2.18700 0.796606 -1.56270 -64.6097 1.41014
2.18800 0.794613 -1.56090 -14.7312 1.41551
2.18900 0.795257 -1.56095 -28.0204 1.40876
2.19000 0.794420 -1.55902 -3.91427 1.40445
2.19100 0.794232 -1.55841 -64.0302 1.39615
2.19200 0.789510 -1.55553 -2.15089 1.44361
2.19300 0.789731 -1.55507 -43.2573 1.43080
2.19400 0.788149 -1.55344 -4.49255 1.45388
2.19500 0.786413 -1.55157 -1.14678 1.45477
2.19600 0.787345 -1.55106 0.356126 1.43629
2.19700 0.785818 -1.55004 -5.14601 1.45457
2.19800 0.786455 -1.54867 -1.71084 1.42547
2.19900 0.780710 -1.54639 -13.4001 1.48955
2.20000 0.783089 -1.54589 -35.9678 1.45539
2.20100 0.780022 -1.54365 -40.9875 1.47747
2.20200 0.779557 -1.54262 0.353524 1.47155
2.20300 0.775849 -1.54060 -240.339 1.52210
2.20400 0.776235 -1.53959 -14.7218 1.49694
2.20500 0.776237 -1.53866 -6.76332 1.49815
2.20600 0.773397 -1.53714 -9.92538 1.51430
2.20700 0.769712 -1.53506 -77.5237 1.54338
2.20800 0.769602 -1.53373 -13.3202 1.53156
2.20900 0.766560 -1.53184 -16.0654 1.57135
2.21000 0.765743 -1.53074 -3.82607 1.56555
2.21100 0.763950 -1.52869 -3.88009 1.57686
2.21200 0.760572 -1.52658 -5.31160 1.59246
2.21300 0.764502 -1.52702 -105.265 1.54223
2.21400 0.761255 -1.52477 -10.9973 1.56780
2.21500 0.759714 -1.52361 0.338947 1.58823
2.21600 0.756239 -1.52118 0.0915502 1.59470
2.21700 0.754782 -1.51978 -1.02133 1.59303
2.21800 0.754887 -1.51904 0.304937 1.59324
2.21900 0.752606 -1.51715 -4.13361 1.61107
2.22000 0.750946 -1.51604 -0.771326 1.61157
2.22100 0.749581 -1.51409 -9.72165 1.62730
2.22200 0.744676 -1.51145 0.317314 1.65687
2.22300 0.747065 -1.51147 -4.31104 1.63063
2.22400 0.742590 -1.50890 -1.69630 1.67095
2.22500 0.740080 -1.50715 -94.3411 1.67969
2.22600 0.740205 -1.50580 -0.0394350 1.65601
2.22700 0.734191 -1.50363 -0.490338 1.71874
2.22800 0.738558 -1.50378 -26.2356 1.68092
2.22900 0.734022 -1.50066 -0.0274077 1.69655
2.23000 0.726296 -1.49742 -6.21895 1.75926
2.23100 0.734151 -1.49878 0.0380458 1.65968
2.23200 0.730530 -1.49693 -3.74293 1.69857
2.23300 0.725228 -1.49426 -17.2256 1.72669
2.23400 0.725848 -1.49364 -5.33430 1.72158
2.23500 0.718787 -1.49050 -9.70777 1.77241
2.23600 0.724530 -1.49110 -31.7833 1.72620
2.23700 0.718858 -1.48825 -0.416897 1.76019
2.23800 0.718856 -1.48721 -52.9901 1.75087
2.23900 0.718069 -1.48559 -9.45645 1.74801
2.24000 0.712822 -1.48345 -2.97838 1.78026
2.24100 0.711943 -1.48186 -39.5801 1.77146
2.24200 0.705653 -1.47923 -28.2564 1.80296
2.24300 0.696393 -1.47507 -24.2485 1.84746
2.24400 0.703929 -1.47655 -30.7732 1.80677
2.24500 0.701346 -1.47444 -3.13261 1.81387
2.24600 0.696072 -1.47148 0.280878 1.84686
2.24700 0.695063 -1.47036 -40.6982 1.81128
2.24800 0.691391 -1.46814 -5.36268 1.86398
2.24900 0.691439 -1.46723 -3.37625 1.85130
2.25000 0.690574 -1.46577 0.100890 1.84468
2.25100 0.687610 -1.46355 0.300010 1.82833
2.25200 0.681887 -1.46131 -54.7888 1.86993
2.25300 0.681198 -1.45985 0.302168 1.88106
2.25400 0.675804 -1.45731 -3.65741 1.88281
2.25500 0.672297 -1.45507 -0.267859 1.90676
2.25600 0.675786 -1.45478 0.213153 1.87895
2.25700 0.678558 -1.45528 -1.81708 1.86250
2.25800 0.668050 -1.45060 0.285890 1.91131
2.25900 0.665743 -1.44902 -2.69822 1.89070
2.26000 0.657740 -1.44538 0.171273 1.93175
2.26100 0.652566 -1.44332 -9.17244 1.99222
2.26200 0.656279 -1.44323 -0.742962 1.96168
2.26300 0.660568 -1.44337 -11.6818 1.88647
2.26400 0.645571 -1.43751 0.282141 1.96492
2.26500 0.646128 -1.43682 -1.50876 1.96462
2.26600 0.641731 -1.43457 -12.7878 1.96533
2.26700 0.639543 -1.43289 0.152763 1.96850
2.26800 0.635799 -1.43048 0.159969 1.98419
2.26900 0.628184 -1.42797 -7.22479 2.00496
2.27000 0.624160 -1.42576 -21.9108 2.04864
2.27100 0.636104 -1.42825 -9.94912 1.97148
2.27200 0.625535 -1.42351 -4.32378 1.99737
2.27300 0.618390 -1.42078 -5.04836 2.02417
2.27400 0.618263 -1.41980 -0.923047 2.02263
2.27500 0.617537 -1.41809 -1.40065 1.98484
2.27600 0.614891 -1.41639 0.253101 2.01211
2.27700 0.605566 -1.41215 -0.324530 2.00514
2.27800 0.603460 -1.41099 -4.69943 2.02576
2.27900 0.596615 -1.40764 -0.775642 2.05997
2.28000 0.598537 -1.40748 0.219856 2.02537
2.28100 0.594640 -1.40491 -6.61663 1.99902
2.28200 0.585888 -1.40274 -5.45524 2.06185
2.28300 0.584262 -1.40061 -0.385803 2.03407
2.28400 0.581016 -1.39847 -5.91491 2.06177
2.28500 0.580124 -1.39699 0.253692 2.02033
2.28600 0.577675 -1.39515 -1.14937 2.03503
2.28700 0.563786 -1.39117 -4.21773 2.05796
2.28800 0.558012 -1.38837 -4.14268 2.08816
2.28900 0.560598 -1.38783 0.227557 2.04382
2.29000 0.558314 -1.38686 -1.34227 2.06514
2.29100 0.559425 -1.38538 -1.75712 2.04888
2.29200 0.566729 -1.38605 -5.32303 2.00620
2.29300 0.553900 -1.38208 -7.45320 2.02612
2.29400 0.552773 -1.38072 -1.39118 2.02713
2.29500 0.550602 -1.37827 -0.430326 2.00986
2.29600 0.539756 -1.37481 -0.815181 2.04549
2.29700 0.538395 -1.37366 -3.26994 2.03647
2.29800 0.534522 -1.37156 -0.565898 2.01000
2.29900 0.535831 -1.37045 0.0767474 2.01948
2.30000 0.524980 -1.36750 0.219013 2.01156
